2026-02-03 04:59:50 [INFO]: Loading Overrides...
2026-02-03 04:59:50 [INFO]: Loading World Types...
2026-02-03 04:59:50 [INFO]: - World Type for 'world' set to 'NORMAL'
2026-02-03 04:59:50 [INFO]: - World Type for 'world_nether' set to 'NETHER'
2026-02-03 04:59:50 [INFO]: - World Type for 'world_the_end' set to 'NORMAL'
2026-02-03 04:59:50 [INFO]: Loading Defaults...
2026-02-03 04:59:50 [INFO]: Loading Custom Worlds...
2026-02-03 04:59:50 [INFO]: [WARN] - Custom World 'custom_world_1' was not registered because world does NOT exist
2026-02-03 04:59:50 [INFO]: [WARN] - Custom World 'other_custom_world' was not registered because world does NOT exist
2026-02-03 04:59:50 [SEVERE]: The particle 'EXPLOSION_NORMAL' created a fatal error when loading particles! Your MC version isn't supported!
2026-02-03 05:00:27 [INFO]: Addon LOGGER has been enabled!
2026-02-03 05:00:27 [INFO]: Addon PORTALS has been enabled!
2026-02-03 05:00:27 [INFO]: Addon EXTRAEFFECTS has been enabled!
2026-02-03 05:00:27 [INFO]: Addon PARTY_RTP has been enabled!
2026-02-03 05:00:31 [INFO]: Database COOLDOWN:world configured and loaded!
2026-02-03 05:00:31 [INFO]: Database COOLDOWN:world_nether configured and loaded!
2026-02-03 05:00:31 [INFO]: Database COOLDOWN:world_the_end configured and loaded!
2026-02-03 05:00:31 [INFO]: Database COOLDOWN:spawn configured and loaded!
2026-02-03 05:00:32 [INFO]: Database QUEUE:Queue configured and loaded!
2026-02-03 05:00:32 [INFO]: Database CHUNK_DATA:ChunkData configured and loaded!
2026-02-03 05:00:32 [INFO]: Database PLAYERS:Players configured and loaded!
2026-02-03 05:00:45 [INFO]: Attempting to queue up some more safe locations...
2026-02-03 05:00:56 [INFO]: Queue position generated: id= default_world, database_ID= 1, location= x: -537, y: 128, z: 781, world: world
2026-02-03 05:01:01 [INFO]: Queue position generated: id= default_world, database_ID= 2, location= x: 315, y: 95, z: 362, world: world
2026-02-03 05:01:05 [INFO]: Queue position generated: id= default_world, database_ID= 3, location= x: -621, y: 66, z: -384, world: world
2026-02-03 05:01:17 [INFO]: Queue position generated: id= default_world, database_ID= 4, location= x: 346, y: 106, z: 215, world: world
2026-02-03 05:01:25 [INFO]: Queue position generated: id= default_world, database_ID= 5, location= x: 287, y: 81, z: 247, world: world
2026-02-03 05:01:29 [INFO]: Queue position generated: id= default_world, database_ID= 6, location= x: 958, y: 72, z: -982, world: world
2026-02-03 05:01:36 [INFO]: Queue position generated: id= default_world, database_ID= 7, location= x: -498, y: 111, z: -325, world: world
2026-02-03 05:01:41 [INFO]: Queue position generated: id= default_world, database_ID= 8, location= x: -341, y: 98, z: 549, world: world
2026-02-03 05:01:46 [INFO]: Queue position generated: id= default_world, database_ID= 9, location= x: 228, y: 88, z: -684, world: world
2026-02-03 05:01:53 [INFO]: Queue position generated: id= default_world, database_ID= 10, location= x: 291, y: 68, z: -204, world: world
2026-02-03 05:02:10 [INFO]: Queue position generated: id= default_world, database_ID= 11, location= x: 511, y: 74, z: -60, world: world
2026-02-03 05:02:16 [INFO]: Queue position generated: id= default_world, database_ID= 12, location= x: 731, y: 66, z: -698, world: world
2026-02-03 05:02:19 [INFO]: Queue position generated: id= default_world, database_ID= 13, location= x: -469, y: 71, z: -254, world: world
2026-02-03 05:02:34 [INFO]: Queue position generated: id= default_world, database_ID= 14, location= x: -779, y: 91, z: 956, world: world
2026-02-03 05:02:37 [INFO]: Queue position generated: id= default_world, database_ID= 15, location= x: -603, y: 102, z: 229, world: world
2026-02-03 05:02:41 [INFO]: Queue position generated: id= default_world, database_ID= 16, location= x: 585, y: 74, z: -980, world: world
2026-02-03 05:02:45 [INFO]: Queue position generated: id= default_world, database_ID= 17, location= x: 294, y: 88, z: -708, world: world
2026-02-03 05:02:47 [INFO]: Queue position generated: id= default_world, database_ID= 18, location= x: -398, y: 89, z: 162, world: world
2026-02-03 05:02:50 [INFO]: Queue position generated: id= default_world, database_ID= 19, location= x: -227, y: 66, z: 865, world: world
2026-02-03 05:02:53 [INFO]: Queue position generated: id= default_world, database_ID= 20, location= x: 680, y: 66, z: -438, world: world
2026-02-03 05:02:56 [INFO]: Queue position generated: id= default_world, database_ID= 21, location= x: -962, y: 70, z: -667, world: world
2026-02-03 05:03:00 [INFO]: Queue position generated: id= default_world, database_ID= 22, location= x: -899, y: 103, z: -33, world: world
2026-02-03 05:03:03 [INFO]: Queue position generated: id= default_world, database_ID= 23, location= x: -852, y: 97, z: 391, world: world
2026-02-03 05:03:06 [INFO]: Queue position generated: id= default_world, database_ID= 24, location= x: 879, y: 102, z: 223, world: world
